id,name,component,tagName,automationPriority,selectorPriority,recommendedSelector,hasTestAttrs,identifierScore,filePath,testAttributes
simple-react-ecommerce_src_pages_SingleProduct_element_h2_a08ecmmdc,⚠️ NEEDS_SEMANTIC_SELECTOR: h2,SingleProduct,h2,medium,never,⚠️ NEEDS_SEMANTIC_SELECTOR: h2,False,0,/home/pauljcoles/code/cats/ecom/simple-react-ecommerce/src/pages/SingleProduct.tsx,
simple-react-ecommerce_src_pages_SingleProduct_element_table_75b22mqba,⚠️ NEEDS_SEMANTIC_SELECTOR: table,SingleProduct,table,medium,never,⚠️ NEEDS_SEMANTIC_SELECTOR: table,False,0,/home/pauljcoles/code/cats/ecom/simple-react-ecommerce/src/pages/SingleProduct.tsx,
simple-react-ecommerce_src_pages_SingleProduct_element_tbody_gutq0kneu,⚠️ NEEDS_SEMANTIC_SELECTOR: tbody,SingleProduct,tbody,medium,never,⚠️ NEEDS_SEMANTIC_SELECTOR: tbody,False,0,/home/pauljcoles/code/cats/ecom/simple-react-ecommerce/src/pages/SingleProduct.tsx,
simple-react-ecommerce_src_pages_SingleProduct_element_tr_hby0hifp5,⚠️ NEEDS_SEMANTIC_SELECTOR: tr,SingleProduct,tr,medium,never,⚠️ NEEDS_SEMANTIC_SELECTOR: tr,False,0,/home/pauljcoles/code/cats/ecom/simple-react-ecommerce/src/pages/SingleProduct.tsx,
simple-react-ecommerce_src_pages_SingleProduct_element_td_922cvn5z1,⚠️ NEEDS_SEMANTIC_SELECTOR: td,SingleProduct,td,medium,never,⚠️ NEEDS_SEMANTIC_SELECTOR: td,False,0,/home/pauljcoles/code/cats/ecom/simple-react-ecommerce/src/pages/SingleProduct.tsx,
simple-react-ecommerce_src_pages_SingleProduct_element_td_kz1t7qcs0,⚠️ NEEDS_SEMANTIC_SELECTOR: td,SingleProduct,td,medium,never,⚠️ NEEDS_SEMANTIC_SELECTOR: td,False,0,/home/pauljcoles/code/cats/ecom/simple-react-ecommerce/src/pages/SingleProduct.tsx,
simple-react-ecommerce_src_pages_SingleProduct_element_tr_12ph57rc9,⚠️ NEEDS_SEMANTIC_SELECTOR: tr,SingleProduct,tr,medium,never,⚠️ NEEDS_SEMANTIC_SELECTOR: tr,False,0,/home/pauljcoles/code/cats/ecom/simple-react-ecommerce/src/pages/SingleProduct.tsx,
simple-react-ecommerce_src_pages_SingleProduct_element_td_z6wor9d0s,⚠️ NEEDS_SEMANTIC_SELECTOR: td,SingleProduct,td,medium,never,⚠️ NEEDS_SEMANTIC_SELECTOR: td,False,0,/home/pauljcoles/code/cats/ecom/simple-react-ecommerce/src/pages/SingleProduct.tsx,
simple-react-ecommerce_src_pages_SingleProduct_element_td_xf2jdi0ta,⚠️ NEEDS_SEMANTIC_SELECTOR: td,SingleProduct,td,medium,never,⚠️ NEEDS_SEMANTIC_SELECTOR: td,False,0,/home/pauljcoles/code/cats/ecom/simple-react-ecommerce/src/pages/SingleProduct.tsx,
simple-react-ecommerce_src_pages_SingleProduct_element_tr_ztp3da526,⚠️ NEEDS_SEMANTIC_SELECTOR: tr,SingleProduct,tr,medium,never,⚠️ NEEDS_SEMANTIC_SELECTOR: tr,False,0,/home/pauljcoles/code/cats/ecom/simple-react-ecommerce/src/pages/SingleProduct.tsx,
simple-react-ecommerce_src_pages_SingleProduct_element_td_8uzy4gm33,⚠️ NEEDS_SEMANTIC_SELECTOR: td,SingleProduct,td,medium,never,⚠️ NEEDS_SEMANTIC_SELECTOR: td,False,0,/home/pauljcoles/code/cats/ecom/simple-react-ecommerce/src/pages/SingleProduct.tsx,
simple-react-ecommerce_src_pages_SingleProduct_element_td_zb10qsgwu,⚠️ NEEDS_SEMANTIC_SELECTOR: td,SingleProduct,td,medium,never,⚠️ NEEDS_SEMANTIC_SELECTOR: td,False,0,/home/pauljcoles/code/cats/ecom/simple-react-ecommerce/src/pages/SingleProduct.tsx,
simple-react-ecommerce_src_pages_SingleProduct_element_h2_rkzi9yb8s,⚠️ NEEDS_SEMANTIC_SELECTOR: h2,SingleProduct,h2,medium,never,⚠️ NEEDS_SEMANTIC_SELECTOR: h2,False,0,/home/pauljcoles/code/cats/ecom/simple-react-ecommerce/src/pages/SingleProduct.tsx,
simple-react-ecommerce_src_pages_SingleProduct_element_button_ap3lsv4de,⚠️ NEEDS_SEMANTIC_SELECTOR: button,SingleProduct,button,high,never,⚠️ NEEDS_SEMANTIC_SELECTOR: button,False,7,/home/pauljcoles/code/cats/ecom/simple-react-ecommerce/src/pages/SingleProduct.tsx,
simple-react-ecommerce_src_pages_SingleProduct_element_button_s5lf1that,⚠️ NEEDS_SEMANTIC_SELECTOR: button,SingleProduct,button,high,never,⚠️ NEEDS_SEMANTIC_SELECTOR: button,False,7,/home/pauljcoles/code/cats/ecom/simple-react-ecommerce/src/pages/SingleProduct.tsx,
simple-react-ecommerce_src_pages_SingleProduct_element_button_0zeg1ruob,⚠️ NEEDS_SEMANTIC_SELECTOR: button,SingleProduct,button,high,never,⚠️ NEEDS_SEMANTIC_SELECTOR: button,False,7,/home/pauljcoles/code/cats/ecom/simple-react-ecommerce/src/pages/SingleProduct.tsx,
simple-react-ecommerce_src_pages_Profile_element_h1_j5ocrwn2p,⚠️ NEEDS_SEMANTIC_SELECTOR: h1,Profile,h1,medium,never,⚠️ NEEDS_SEMANTIC_SELECTOR: h1,False,0,/home/pauljcoles/code/cats/ecom/simple-react-ecommerce/src/pages/Profile.tsx,
simple-react-ecommerce_src_pages_Profile_element_table_k8c8mweuf,⚠️ NEEDS_SEMANTIC_SELECTOR: table,Profile,table,medium,never,⚠️ NEEDS_SEMANTIC_SELECTOR: table,False,0,/home/pauljcoles/code/cats/ecom/simple-react-ecommerce/src/pages/Profile.tsx,
simple-react-ecommerce_src_pages_Profile_element_tbody_4t5iqdl35,⚠️ NEEDS_SEMANTIC_SELECTOR: tbody,Profile,tbody,medium,never,⚠️ NEEDS_SEMANTIC_SELECTOR: tbody,False,0,/home/pauljcoles/code/cats/ecom/simple-react-ecommerce/src/pages/Profile.tsx,
simple-react-ecommerce_src_pages_Profile_element_tr_kdvzld73i,⚠️ NEEDS_SEMANTIC_SELECTOR: tr,Profile,tr,medium,never,⚠️ NEEDS_SEMANTIC_SELECTOR: tr,False,0,/home/pauljcoles/code/cats/ecom/simple-react-ecommerce/src/pages/Profile.tsx,
